time_epoch,time_iso,lat,lon,error_km,count,arrays,backazimuths,time_span_s,source_file
1602634165.95,2020-10-14T00:09:25.949999+00:00,-76.958143,-99.914948,0.0,3,0;1,10.0;115.0;200.0;115.0;215.0;120.0,77872.775,locations_summary_20201014.csv
1602720327.325,2020-10-15T00:05:27.325000+00:00,-77.104291,-99.21529,0.0,3,0;1,240.0;300.0;240.0;305.0;50.0;115.0,208.325,locations_summary_20201015.csv
1602720333.475,2020-10-15T00:05:33.475000+00:00,-76.997836,-100.243254,0.0,3,0;1,10.0;300.0;10.0;305.0;10.0;300.0,256.3,locations_summary_20201015.csv
1602720396.638,2020-10-15T00:06:36.637500+00:00,-76.096137,-102.939806,0.0,2,0;1,335.0;185.0;335.0;195.0,23.875,locations_summary_20201015.csv
1602720420.725,2020-10-15T00:07:00.725000+00:00,-76.459367,-102.836167,0.0,4,0;1,335.0;240.0;325.0;240.0;325.0;195.0;325.0;200.0,24.175,locations_summary_20201015.csv
1602806868.863,2020-10-16T00:07:48.862500+00:00,-76.91808,-100.323906,0.0,2,0;1,15.0;115.0;175.0;300.0,315.825,locations_summary_20201016.csv
1602806730.888,2020-10-16T00:05:30.887500+00:00,-77.112618,-98.174483,0.0,2,0;1,255.0;115.0;245.0;115.0,7.325,locations_summary_20201016.csv
1602806759.75,2020-10-16T00:05:59.750000+00:00,-77.671578,-103.283581,0.0,2,0;1,245.0;180.0;55.0;180.0,5.45,locations_summary_20201016.csv
1602893251.312,2020-10-17T00:07:31.312500+00:00,-76.886057,-98.106335,0.0,2,0;1,55.0;105.0;50.0;105.0,15.375,locations_summary_20201017.csv
1602979847.838,2020-10-18T00:10:47.837500+00:00,-76.42301,-95.891647,0.0,2,0;1,50.0;265.0;50.0;85.0,672.175,locations_summary_20201018.csv
1602979950.6,2020-10-18T00:12:30.600000+00:00,-76.819629,-101.697441,0.0,2,0;1,145.0;310.0;335.0;120.0,644.45,locations_summary_20201018.csv
1602980248.65,2020-10-18T00:17:28.650000+00:00,-76.514572,-102.264861,0.0,2,0;1,150.0;85.0;335.0;70.0,91.5,locations_summary_20201018.csv
1603065969.875,2020-10-19T00:06:09.875000+00:00,-77.167089,-100.159188,0.0,3,0;1,65.0;310.0;5.0;310.0;20.0;310.0,16.075,locations_summary_20201019.csv
1603104190.963,2020-10-19T10:43:10.962501+00:00,-76.632863,-104.311474,0.0,2,0;1,305.0;260.0;310.0;245.0,76150.675,locations_summary_20201019.csv
